calendar_date,route_id,checkpoint_name,vehicle_count,congestion_level,crowd_density,congestion_score,traffic_volume,crowd_pressure
2026-05-01,R001,Sonprayag Checkpoint,283,Low,3,1,283,849
2026-05-01,R002,Kedar Trek Gate,166,Medium,2,2,166,332
2026-05-01,R003,Joshimath Barrier,263,Low,1,1,263,263
2026-05-01,R004,Badri Gate,186,High,1,3,186,186
2026-05-01,R005,Uttarkashi Checkpoint,290,Low,3,1,290,870
2026-05-01,R006,Gangotri Gate,133,Low,3,1,133,399
2026-05-01,R007,Janki Chatti Checkpoint,318,High,1,3,318,318
2026-05-01,R008,Yamuna Trek Gate,146,High,2,3,146,292
2026-05-02,R001,Sonprayag Checkpoint,371,High,3,3,371,1113
2026-05-02,R002,Kedar Trek Gate,225,Medium,3,2,225,675
2026-05-02,R003,Joshimath Barrier,361,High,2,3,361,722
2026-05-02,R004,Badri Gate,216,High,2,3,216,432
2026-05-02,R005,Uttarkashi Checkpoint,377,High,3,3,377,1131
2026-05-02,R006,Gangotri Gate,187,Low,2,1,187,374
2026-05-02,R007,Janki Chatti Checkpoint,341,High,2,3,341,682
2026-05-02,R008,Yamuna Trek Gate,190,Medium,1,2,190,190
2026-05-03,R001,Sonprayag Checkpoint,330,High,3,3,330,990
2026-05-03,R002,Kedar Trek Gate,279,Medium,2,2,279,558
2026-05-03,R003,Joshimath Barrier,317,Medium,1,2,317,317
2026-05-03,R004,Badri Gate,238,Medium,1,2,238,238
2026-05-03,R005,Uttarkashi Checkpoint,360,High,3,3,360,1080
2026-05-03,R006,Gangotri Gate,218,Medium,2,2,218,436
2026-05-03,R007,Janki Chatti Checkpoint,388,High,1,3,388,388
2026-05-03,R008,Yamuna Trek Gate,224,Medium,1,2,224,224
2026-05-04,R001,Sonprayag Checkpoint,256,Low,3,1,256,768
2026-05-04,R002,Kedar Trek Gate,199,Medium,2,2,199,398
2026-05-04,R003,Joshimath Barrier,277,Low,1,1,277,277
2026-05-04,R004,Badri Gate,160,High,1,3,160,160
2026-05-04,R005,Uttarkashi Checkpoint,262,Low,3,1,262,786
2026-05-04,R006,Gangotri Gate,177,Low,2,1,177,354
2026-05-04,R007,Janki Chatti Checkpoint,297,Low,2,1,297,594
2026-05-04,R008,Yamuna Trek Gate,178,Medium,1,2,178,178
2026-05-05,R001,Sonprayag Checkpoint,281,Low,3,1,281,843
2026-05-05,R002,Kedar Trek Gate,170,Medium,3,2,170,510
2026-05-05,R003,Joshimath Barrier,271,Low,2,1,271,542
2026-05-05,R004,Badri Gate,157,Medium,1,2,157,157
2026-05-05,R005,Uttarkashi Checkpoint,221,Low,3,1,221,663
2026-05-05,R006,Gangotri Gate,197,Low,3,1,197,591
2026-05-05,R007,Janki Chatti Checkpoint,288,Low,2,1,288,576
2026-05-05,R008,Yamuna Trek Gate,154,High,2,3,154,308
2026-05-06,R001,Sonprayag Checkpoint,241,Low,2,1,241,482
2026-05-06,R002,Kedar Trek Gate,186,Medium,2,2,186,372
2026-05-06,R003,Joshimath Barrier,304,Low,2,1,304,608
2026-05-06,R004,Badri Gate,190,High,1,3,190,190
2026-05-06,R005,Uttarkashi Checkpoint,270,Low,2,1,270,540
2026-05-06,R006,Gangotri Gate,178,Low,2,1,178,356
2026-05-06,R007,Janki Chatti Checkpoint,267,Medium,1,2,267,267
2026-05-06,R008,Yamuna Trek Gate,180,Medium,1,2,180,180
2026-05-07,R001,Sonprayag Checkpoint,304,Low,3,1,304,912
2026-05-07,R002,Kedar Trek Gate,180,High,2,3,180,360
2026-05-07,R003,Joshimath Barrier,267,Low,2,1,267,534
2026-05-07,R004,Badri Gate,179,High,1,3,179,179
2026-05-07,R005,Uttarkashi Checkpoint,278,Low,2,1,278,556
2026-05-07,R006,Gangotri Gate,169,Low,2,1,169,338
2026-05-07,R007,Janki Chatti Checkpoint,292,Low,1,1,292,292
2026-05-07,R008,Yamuna Trek Gate,211,High,1,3,211,211
2026-05-08,R001,Sonprayag Checkpoint,286,Low,3,1,286,858
2026-05-08,R002,Kedar Trek Gate,195,High,2,3,195,390
2026-05-08,R003,Joshimath Barrier,278,Low,1,1,278,278
2026-05-08,R004,Badri Gate,155,High,1,3,155,155
